qubits	depth	T_gates	time
2	5	0	0.01274661
2	5	2	2.719581906
2	5	4	7.474920464
2	5	6	3.059703763
2	5	8	5.698201239
2	20	0	6.025482431
2	20	2	7.567732169
2	20	4	9.352674445
2	20	6	7.234016028
2	20	8	10.247622369
2	35	0	2.417023537
2	35	2	7.820996485
2	35	4	4.342280837
2	35	6	16.833522519
2	35	8	8.765831894
2	50	0	6.509779092
2	50	2	6.651116491
2	50	4	11.385819755
2	50	6	16.465348657
2	50	8	8.834344685
6	5	0	2.68170932
6	5	2	5.371067422
6	5	4	4.880812576
6	5	6	8.174391218
6	5	8	10.781476264
6	20	0	4.891252052
6	20	2	7.963012287
6	20	4	7.186703015
6	20	6	11.573289348
6	20	8	13.92214684
6	35	0	5.534702195
6	35	2	9.446650846
6	35	4	4.4847302
6	35	6	18.238703
6	35	8	12.565324959
6	50	0	5.80514906
6	50	2	6.457924818
6	50	4	9.966033949
6	50	6	14.786474613
6	50	8	29.197473124
10	5	0	6.518356281
10	5	2	6.349198825
10	5	4	5.368693713
10	5	6	8.880362807
10	5	8	9.501978273
10	20	0	5.988189235
10	20	2	8.388928161
10	20	4	11.650818829
10	20	6	10.689294994
10	20	8	37.2840008
10	35	0	6.210808756
10	35	2	9.058585658
10	35	4	11.785926794
10	35	6	22.291337075
10	35	8	29.318318618
10	50	0	7.858544828
10	50	2	10.327765081
10	50	4	14.845268758
10	50	6	19.985121029
10	50	8	34.919406756
14	5	0	3.488527804
14	5	2	6.041975541
14	5	4	9.884559347
14	5	6	8.775020882
14	5	8	10.402373747
14	20	0	8.130750232
14	20	2	5.856169589
14	20	4	14.586377575
14	20	6	19.002462871
14	20	8	28.279009156
14	35	0	4.491508201
14	35	2	8.734138996
14	35	4	12.625954411
14	35	6	22.65818688
14	35	8	35.783364861
14	50	0	5.336891164
14	50	2	10.92305195
14	50	4	8.39917744
14	50	6	15.286624615
14	50	8	33.050887515
18	5	0	3.0135468
18	5	2	3.786667726
18	5	4	12.398439986
18	5	6	5.385301675
18	5	8	18.083419879
18	20	0	5.475306625
18	20	2	8.563264179
18	20	4	15.047361829
18	20	6	14.143813644
18	20	8	25.734784359
18	35	0	6.74625369
18	35	2	10.520441149
18	35	4	17.449778667
18	35	6	20.237846508
18	35	8	33.157257546
18	50	0	9.220087348
18	50	2	10.594958446
18	50	4	12.375040095
18	50	6	21.839632241
18	50	8	34.686442097
22	5	0	2.92347513
22	5	2	4.110667677
22	5	4	5.248826713
22	5	6	5.601846921
22	5	8	9.039126637
22	20	0	8.155219585
22	20	2	9.120589024
22	20	4	14.024706789
22	20	6	16.232645158
22	20	8	40.552728645
22	35	0	6.437733806
22	35	2	9.938942461
22	35	4	14.700016216
22	35	6	26.0687578
22	35	8	30.097916619
22	50	0	6.158707474
22	50	2	8.486859764
22	50	4	16.484663677
22	50	6	28.558561203
22	50	8	26.58577389
26	5	0	2.915024231
26	5	2	4.02724093
26	5	4	5.520733066
26	5	6	8.981076505
26	5	8	10.115451099
26	20	0	5.938181847
26	20	2	12.023212423
26	20	4	16.161334291
26	20	6	26.976655942
26	20	8	39.869036599
26	35	0	6.67661304
26	35	2	13.945690864
26	35	4	16.99381091
26	35	6	28.005290404
26	35	8	40.829901537
26	50	0	10.591467001
26	50	2	15.881838218
26	50	4	15.643526572
26	50	6	28.607904902
26	50	8	39.645151614
30	5	0	3.319669838
30	5	2	5.135248638
30	5	4	5.648626745
30	5	6	9.757530385
30	5	8	9.62270088
30	20	0	6.902096998
30	20	2	14.859156888
30	20	4	13.0934698
30	20	6	28.886073082
30	20	8	36.199449209
30	35	0	8.859827333
30	35	2	12.400114773
30	35	4	20.522102961
30	35	6	26.564057493
30	35	8	49.586264905
30	50	0	11.355720598
30	50	2	11.66626777
30	50	4	17.248140746
30	50	6	27.219578337
30	50	8	23.421385727
