qubits	depth	T_gates	time
16	5	0	3.412774506
16	5	0	0.002972512
16	5	0	2.883718512
16	5	0	3.279570056
16	5	0	3.085025545
16	5	2	7.387824778
16	5	2	4.786482135
16	5	2	4.407289993
16	5	2	6.213383378
16	5	2	7.757069973
16	5	4	6.168155407
16	5	4	6.82097662
16	5	4	5.321716523
16	5	4	6.111403269
16	5	4	8.336665471
16	5	6	10.203553319
16	5	6	8.273962887
16	5	6	7.72591047
16	5	6	13.295239829
16	5	6	8.183244508
16	5	8	7.605921008
16	5	8	8.904879912
16	5	8	7.066674669
16	5	8	11.655659836
16	5	8	8.249908877
16	5	10	31.525109397
16	5	10	18.468706081
16	5	10	7.840237991
16	5	10	19.78452144
16	5	10	15.271347775
16	20	0	4.891889724
16	20	0	9.251720346
16	20	0	4.675602491
16	20	0	6.949174899
16	20	0	5.870351927
16	20	2	11.266473727
16	20	2	6.849798642
16	20	2	5.609966595
16	20	2	9.976693673
16	20	2	9.305707588
16	20	4	12.067041279
16	20	4	7.528433755
16	20	4	10.884370997
16	20	4	8.505685439
16	20	4	10.95694536
16	20	6	14.379664547
16	20	6	12.2294844
16	20	6	18.789013895
16	20	6	19.085419951
16	20	6	19.018945596
16	20	8	33.518922051
16	20	8	29.935004044
16	20	8	23.970166033
16	20	8	30.876632484
16	20	8	23.897020421
16	20	10	30.884241466
16	20	10	36.105750659
16	20	10	44.326784461
16	20	10	37.10915596
16	20	10	28.045407155
16	35	0	4.517307485
16	35	0	7.981999251
16	35	0	4.069139688
16	35	0	8.121791094
16	35	0	6.323960785
16	35	2	10.864262912
16	35	2	6.648412626
16	35	2	9.853917482
16	35	2	9.100796394
16	35	2	7.478657104
16	35	4	15.457160343
16	35	4	15.141619613
16	35	4	12.102670271
16	35	4	16.403609631
16	35	4	13.191659324
16	35	6	22.463280587
16	35	6	23.295449846
16	35	6	11.384027667
16	35	6	22.009910003
16	35	6	12.180031215
16	35	8	23.902185806
16	35	8	37.40672767
16	35	8	30.353493785
16	35	8	23.015143378
16	35	8	34.216245949
16	35	10	53.655513178
16	35	10	46.527335488
16	35	10	56.61471206
16	35	10	30.475645866
16	35	10	43.628713699
16	50	0	5.373235959
16	50	0	5.927328169
16	50	0	8.894008347
16	50	0	9.041687229
16	50	0	8.969802098
16	50	2	12.769098575
16	50	2	10.494908392
16	50	2	10.437390756
16	50	2	10.201678751
16	50	2	11.125281164
16	50	4	15.665078862
16	50	4	15.884231273
16	50	4	16.57207126
16	50	4	14.728332287
16	50	4	12.820628405
16	50	6	26.915357099
16	50	6	23.169215178
