qubits	depth	T_gates	time
4	5	0	4.866095034
4	5	0	2.660537596
4	5	0	3.559705325
4	5	0	4.806180488
4	5	0	3.762085482
4	5	2	8.383099076
4	5	2	7.104482166
4	5	2	8.446362661
4	5	2	7.055143007
4	5	2	5.272657253
4	5	4	8.964755612
4	5	4	7.021424954
4	5	4	5.43220201
4	5	4	6.584536847
4	5	4	6.574119497
4	5	6	5.370465651
4	5	6	9.448168683
4	5	6	8.369305907
4	5	6	4.94264537
4	5	6	4.752283078
4	5	8	6.598163491
4	5	8	7.037623465
4	5	8	3.668071095
4	5	8	6.808870604
4	5	8	6.72476493
4	5	10	7.168220513
4	5	10	5.466596437
4	5	10	5.170947818
4	5	10	6.692886503
4	5	10	3.665724676
4	20	0	7.019619764
4	20	0	4.782717514
4	20	0	5.903294761
4	20	0	5.745904487
4	20	0	7.079327653
4	20	2	10.014195662
4	20	2	6.8340144
4	20	2	9.980956684
4	20	2	3.836982527
4	20	2	7.154508466
4	20	4	5.083593314
4	20	4	9.157941278
4	20	4	6.701918897
4	20	4	6.347391395
4	20	4	10.831081903
4	20	6	14.477732814
4	20	6	11.368911153
4	20	6	12.307532179
4	20	6	17.634221209
4	20	6	6.949679699
4	20	8	19.286316829
4	20	8	8.903170857
4	20	8	15.722382524
4	20	8	12.814382788
4	20	8	10.509797896
4	20	10	21.561863551
4	20	10	11.856894719
4	20	10	11.506724743
4	20	10	16.409231619
4	20	10	19.402302973
4	35	0	7.134399985
4	35	0	7.115667327
4	35	0	7.104556759
4	35	0	3.613861923
4	35	0	3.630270773
4	35	2	3.715800101
4	35	2	10.258497903
4	35	2	3.70018289
4	35	2	10.624198804
4	35	2	8.473836123
4	35	4	12.378685474
4	35	4	12.73817969
4	35	4	5.092226952
4	35	4	8.2525134
4	35	4	9.569648763
4	35	6	17.52932098
4	35	6	11.169100267
4	35	6	13.198676413
4	35	6	12.810568585
4	35	6	18.084247189
4	35	8	10.763384491
4	35	8	12.27074118
4	35	8	24.019743482
4	35	8	15.288533171
4	35	8	14.358567272
4	35	10	35.113508513
4	35	10	24.278386863
4	35	10	14.806087984
4	35	10	26.429334263
4	35	10	12.057248205
4	50	0	5.304814884
4	50	0	8.507989516
4	50	0	7.717359954
4	50	0	3.174713873
4	50	0	5.306910142
4	50	2	5.775952002
4	50	2	9.037460591
4	50	2	5.411740558
4	50	2	6.681804653
4	50	2	10.543760626
4	50	4	11.162939882
4	50	4	9.294130057
4	50	4	12.347233066
4	50	4	10.813178281
4	50	4	9.617565897
4	50	6	18.147850004
4	50	6	16.282690165
4	50	6	17.939776798
4	50	6	19.136117683
4	50	6	20.178079569
4	50	8	16.758308059
4	50	8	26.570343172
4	50	8	14.666460889
4	50	8	16.693684794
4	50	8	9.971226679
4	50	10	40.01127225
4	50	10	23.947128133
4	50	10	23.659682863
4	50	10	39.247644575
4	50	10	25.685824841
