qubits	depth	T_gates	time
8	5	0	4.262682928
8	5	0	3.516589784
8	5	0	4.352832057
8	5	0	4.237736125
8	5	0	4.797087436
8	5	2	9.087567144
8	5	2	6.444232065
8	5	2	4.264154788
8	5	2	4.816645364
8	5	2	4.188154131
8	5	4	6.510781157
8	5	4	9.177553517
8	5	4	8.311960639
8	5	4	5.601525606
8	5	4	9.753546516
8	5	6	8.240851758
8	5	6	9.557990313
8	5	6	7.25094304
8	5	6	8.545073506
8	5	6	13.135364413
8	5	8	11.183454276
8	5	8	12.734818514
8	5	8	5.637903153
8	5	8	7.355676
8	5	8	8.906809054
8	5	10	18.029529835
8	5	10	9.459878051
8	5	10	12.716758688
8	5	10	9.303725973
8	5	10	8.944504562
8	20	0	6.510922677
8	20	0	7.228181846
8	20	0	6.0930699
8	20	0	7.113916053
8	20	0	3.901526327
8	20	2	5.960022099
8	20	2	9.502452165
8	20	2	10.633032007
8	20	2	9.999258187
8	20	2	6.348729971
8	20	4	7.894509592
8	20	4	12.424440333
8	20	4	11.128489119
8	20	4	10.068339335
8	20	4	8.53476193
8	20	6	11.255118091
8	20	6	16.984790182
8	20	6	10.424412627
8	20	6	15.885867819
8	20	6	14.454555649
8	20	8	16.643339788
8	20	8	11.149033932
8	20	8	23.609133917
8	20	8	19.632764885
8	20	8	19.065163724
8	20	10	27.64881595
8	20	10	32.401578663
8	20	10	28.850477066
8	20	10	9.768740763
8	20	10	15.483554135
8	35	0	4.614561597
8	35	0	5.995112294
8	35	0	4.476633851
8	35	0	6.067718922
8	35	0	6.476841387
8	35	2	10.532788793
8	35	2	9.777838918
8	35	2	9.683041282
8	35	2	7.706440667
8	35	2	4.875655497
8	35	4	11.935629336
8	35	4	9.969872086
8	35	4	12.802674958
8	35	4	8.563414927
8	35	4	11.93655215
8	35	6	18.174560225
8	35	6	17.534594595
8	35	6	19.835589457
8	35	6	12.90394736
8	35	6	17.27048879
8	35	8	17.01729922
8	35	8	18.046084833
8	35	8	16.505713416
8	35	8	23.935465974
8	35	8	16.642268629
8	35	10	55.362142794
8	35	10	48.48784534
8	35	10	26.491026934
8	35	10	46.448782916
8	35	10	47.674294822
8	50	0	5.087350684
8	50	0	3.38477375
8	50	0	7.796636086
8	50	0	6.995076266
8	50	0	7.809747375
8	50	2	7.986872759
8	50	2	8.707438205
8	50	2	9.778199745
8	50	2	9.292031582
8	50	2	9.490950563
8	50	4	13.303629003
8	50	4	13.329604604
8	50	4	11.994481036
8	50	4	11.291551446
8	50	4	12.38787903
8	50	6	17.134158033
8	50	6	14.663466691
8	50	6	20.799729799
8	50	6	19.954524429
8	50	6	18.917673933
8	50	8	29.044467559
8	50	8	27.806821049
8	50	8	30.207123702
8	50	8	31.282132888
8	50	8	24.837241146
8	50	10	29.921191322
8	50	10	30.556022926
8	50	10	44.235808354
8	50	10	45.360870751
8	50	10	25.416289254
12	5	0	0.007470291
12	5	0	4.687457161
12	5	0	5.212516192
12	5	0	4.990386282
12	5	0	5.470671342
12	5	2	4.969307587
12	5	2	5.066115225
12	5	2	5.740428942
12	5	2	6.773492905
12	5	2	6.428290185
12	5	4	6.192628145
12	5	4	8.734626563
12	5	4	7.977690845
12	5	4	6.154607372
12	5	4	5.808032986
12	5	6	11.389894248
12	5	6	11.289636965
12	5	6	4.665776086
12	5	6	9.080897755
12	5	6	12.782805878
12	5	8	18.14814629
12	5	8	10.948769947
12	5	8	6.777839793
12	5	8	10.876406032
12	5	8	18.357735569
12	5	10	8.666093417
12	5	10	9.734623381
12	5	10	15.33272573
12	5	10	11.328674895
12	5	10	8.058863455
12	20	0	6.63294335
12	20	0	5.717789149
12	20	0	4.758652063
12	20	0	6.604332209
12	20	0	5.958943122
12	20	2	11.093599044
12	20	2	4.77041727
12	20	2	10.541010856
12	20	2	7.467177668
12	20	2	8.763252323
12	20	4	13.330704352
12	20	4	11.749620609
12	20	4	11.620704885
12	20	4	12.600058434
12	20	4	10.657108147
12	20	6	19.160849404
12	20	6	20.272870426
12	20	6	21.644275177
12	20	6	15.095825757
12	20	6	16.267891115
12	20	8	20.306732526
12	20	8	14.61881632
12	20	8	24.959884212
12	20	8	34.972172417
12	20	8	34.428798335
12	20	10	27.718821094
12	20	10	32.201798951
