qubits	depth	max_operand	time
4	5	1	0.053847278
4	5	1	0.018107352
4	5	1	0.00320616
4	5	1	0.003091726
4	5	1	0.005116451
4	5	2	0.012924056
4	5	2	0.006906465
4	5	2	0.010311942
4	5	2	0.002239786
4	5	2	0.006421633
4	5	3	0.015933869
4	5	3	0.017508339
4	5	3	0.021575976
4	5	3	0.020496919
4	5	3	0.010855061
4	5	4	0.01688439
4	5	4	0.004309646
4	5	4	0.006743531
4	5	4	0.010611707
4	5	4	0.011090297
4	20	1	0.003542645
4	20	1	0.001624665
4	20	1	0.001582225
4	20	1	0.002956362
4	20	1	0.004436277
4	20	2	0.015847525
4	20	2	0.034919105
4	20	2	0.016163348
4	20	2	0.017618177
4	20	2	0.014991603
4	20	3	0.018451529
4	20	3	0.025451674
4	20	3	0.015681632
4	20	3	0.021102918
4	20	3	0.017039808
4	20	4	0.015519142
4	20	4	0.015594055
4	20	4	0.016247992
4	20	4	0.015894839
4	20	4	0.01573245
4	35	1	0.001553524
4	35	1	0.008252974
4	35	1	0.001606836
4	35	1	0.001419613
4	35	1	0.005252547
4	35	2	0.016500645
4	35	2	0.015964604
4	35	2	0.015831876
4	35	2	0.015726213
4	35	2	0.015460524
4	35	3	0.015433652
4	35	3	0.017886115
4	35	3	0.017124163
4	35	3	0.01642461
4	35	3	0.016336811
4	35	4	0.016184123
4	35	4	0.018469597
4	35	4	0.015237223
4	35	4	0.016202708
4	35	4	0.015592876
4	50	1	0.00168631
4	50	1	0.004642371
4	50	1	0.007485192
4	50	1	0.00253063
4	50	1	0.002373956
4	50	2	0.016259892
4	50	2	0.015955584
4	50	2	0.015988378
4	50	2	0.017104081
4	50	2	0.0158816
4	50	3	0.019704638
4	50	3	0.016834292
4	50	3	0.015708763
4	50	3	0.016174148
4	50	3	0.015301212
4	50	4	0.027023371
4	50	4	0.015877394
4	50	4	0.015736386
4	50	4	0.022902349
4	50	4	0.015501185
5	5	1	0.002379872
5	5	1	0.001825722
5	5	1	0.00417822
5	5	1	0.001814193
5	5	1	0.002133557
5	5	2	0.02063976
5	5	2	0.021725773
5	5	2	0.027279667
5	5	2	0.030112628
5	5	2	0.015554021
5	5	3	0.020985492
5	5	3	0.021655118
5	5	3	0.024311412
5	5	3	0.006485412
5	5	3	0.02214763
5	5	4	0.021453132
5	5	4	0.022835572
5	5	4	0.032040488
5	5	4	0.025383631
5	5	4	0.015032333
5	20	1	0.004299722
5	20	1	0.002983133
5	20	1	0.002034574
5	20	1	0.001766828
5	20	1	0.004522067
5	20	2	0.025383897
5	20	2	0.020919086
5	20	2	0.023073638
5	20	2	0.021509675
5	20	2	0.021025025
5	20	3	0.030495514
5	20	3	0.020874261
5	20	3	0.031015547
5	20	3	0.021462302
5	20	3	0.031377268
5	20	4	0.020881043
5	20	4	0.020671529
5	20	4	0.028388346
5	20	4	0.021451761
5	20	4	0.019558263
5	35	1	0.003983029
5	35	1	0.00330852
5	35	1	0.006161891
5	35	1	0.003654928
5	35	1	0.002610697
5	35	2	0.020950039
5	35	2	0.021613756
5	35	2	0.020950576
5	35	2	0.026718876
5	35	2	0.020481031
5	35	3	0.021118259
5	35	3	0.02083791
5	35	3	0.021677516
5	35	3	0.02411911
5	35	3	0.020865362
5	35	4	0.021078724
5	35	4	0.020363131
5	35	4	0.021006187
5	35	4	0.021216017
5	35	4	0.026362788
5	50	1	0.008538239
5	50	1	0.001722686
5	50	1	0.004110115
5	50	1	0.004327468
5	50	1	0.001877567
5	50	2	0.020874105
5	50	2	0.021372632
5	50	2	0.02725052
5	50	2	0.019642434
5	50	2	0.031024818
5	50	3	0.021107751
5	50	3	0.022776827
5	50	3	0.021163346
5	50	3	0.026894509
5	50	3	0.024618338
5	50	4	0.02816148
5	50	4	0.032502016
5	50	4	0.017916348
5	50	4	0.023085855
5	50	4	0.025127265
6	5	1	0.003936016
6	5	1	0.006049675
6	5	1	0.002677621
6	5	1	0.008677808
6	5	1	0.005080942
6	5	2	0.019436137
6	5	2	0.030982661
6	5	2	0.027111835
6	5	2	0.025451554
6	5	2	0.030557558
6	5	3	0.027867876
6	5	3	0.015404972
6	5	3	0.012176922
6	5	3	0.027551885
6	5	3	0.011096994
6	5	4	0.011604427
6	5	4	0.025471188
6	5	4	0.006015251
6	5	4	0.02561479
6	5	4	0.025542616
6	20	1	0.008057855
6	20	1	0.008718937
6	20	1	0.008189062
6	20	1	0.002111927
6	20	1	0.004307732
6	20	2	0.026425706
6	20	2	0.028348811
6	20	2	0.028971714
6	20	2	0.028748834
6	20	2	0.028488016
6	20	3	0.027926111
6	20	3	0.025862298
6	20	3	0.023668919
6	20	3	0.025370168
6	20	3	0.025759582
6	20	4	0.035173968
6	20	4	0.026294754
6	20	4	0.026450121
6	20	4	0.025569424
6	20	4	0.027756625
6	35	1	0.00330323
6	35	1	0.001888024
6	35	1	0.003029436
6	35	1	0.003343595
6	35	1	0.001885187
6	35	2	0.026684564
6	35	2	0.025183951
6	35	2	0.026498312
6	35	2	0.032143325
6	35	2	0.029697557
6	35	3	0.030329153
6	35	3	0.027488681
6	35	3	0.026192907
6	35	3	0.029029291
6	35	3	0.029496522
6	35	4	0.02865559
6	35	4	0.026646556
6	35	4	0.027129886
6	35	4	0.026993699
6	35	4	0.024380866
6	50	1	0.005741911
6	50	1	0.004535395
6	50	1	0.004249582
6	50	1	0.003551935
6	50	1	0.004358423
6	50	2	0.032178441
6	50	2	0.030121365
6	50	2	0.03066875
6	50	2	0.026959325
6	50	2	0.027419035
6	50	3	0.035614127
6	50	3	0.026255281
6	50	3	0.028915754
6	50	3	0.024460306
6	50	3	0.026887931
6	50	4	0.048346971
6	50	4	0.030733106
6	50	4	0.027781461
6	50	4	0.027423354
6	50	4	0.026183517
7	5	1	0.003550061
7	5	1	0.004903916
7	5	1	0.00325659
7	5	1	0.015087561
7	5	1	0.004230909
7	5	2	0.030202503
7	5	2	0.033141645
7	5	2	0.030260957
7	5	2	0.035822244
7	5	2	0.038927681
7	5	3	0.030375095
7	5	3	0.035868533
7	5	3	0.030325183
7	5	3	0.030295
7	5	3	0.02596597
7	5	4	0.027589945
7	5	4	0.034134166
7	5	4	0.029528281
7	5	4	0.032558154
7	5	4	0.0294031
7	20	1	0.0021562
7	20	1	0.003838291
7	20	1	0.002344274
7	20	1	0.009070369
7	20	1	0.002096698
7	20	2	0.031320727
7	20	2	0.032400054
7	20	2	0.03359375
7	20	2	0.029855629
7	20	2	0.03208313
7	20	3	0.032283048
7	20	3	0.031643043
7	20	3	0.032006731
7	20	3	0.032317532
7	20	3	0.034238703
7	20	4	0.032790433
7	20	4	0.041900816
7	20	4	0.032099416
7	20	4	0.03253104
7	20	4	0.032386751
