bitlen(n)	n	p	q	e	time
26	64208153	8009	8017	8023787	21.00299072265625
26	64448663	8039	8017	32216027	43.66125845909119
26	64560901	8053	8017	5378551	57.93761205673218
26	64689173	8017	8069	16167869	49.826332092285156
26	64784957	8087	8011	32384171	71.33415079116821
26	64833479	8017	8087	32408351	50.195555448532104
26	64899127	8059	8053	10813571	95.85123825073242
26	65011393	8039	8087	32497463	32.56972360610962
26	65173133	8059	8087	32578037	116.7997305393219
26	65252563	8117	8039	32618017	15.623889207839966
26	65317883	8111	8053	32650567	36.78713870048523
26	65399533	8081	8093	16345573	52.95688223838806
26	65448091	8093	8087	32715671	140.86152362823486
26	65544487	8069	8123	32763943	45.86981463432312
26	65642179	8087	8117	32812699	19.43868613243103
26	65851109	8069	8161	16458469	20.307239532470703
26	66046529	8087	8167	33014857	191.6062831878662
